,emoji,sentiment,re_emoji
0,😀,pos,😀
1,😃,pos,😃
2,😄,pos,😄
3,😁,pos,😁
4,😆,pos,😆
5,😅,pos,😅
6,🤣,pos,🤣
7,😂,pos,😂
8,🙂,pos,🙂
9,😉,pos,😉
10,😊,pos,😊
11,😇,pos,😇
12,🥰,pos,🥰
13,😍,pos,😍
14,🤩,pos,🤩
15,😘,pos,😘
16,😗,pos,😗
17,☺️,pos,☺️
18,😚,pos,😚
19,😙,pos,😙
20,😋,pos,😋
21,😛,pos,😛
22,😜,pos,😜
23,🤪,pos,🤪
24,😝,pos,😝
25,🤑,pos,🤑
26,🤗,pos,🤗
27,🤭,pos,🤭
28,😏,pos,😏
29,🤤,pos,🤤
30,🥳,pos,🥳
31,😎,pos,😎
32,😸,pos,😸
33,😹,pos,😹
34,😻,pos,😻
35,😼,pos,😼
36,😽,pos,😽
37,💋,pos,💋
38,💌,pos,💌
39,💘,pos,💘
40,💝,pos,💝
41,💖,pos,💖
42,💗,pos,💗
43,💓,pos,💓
44,💞,pos,💞
45,💕,pos,💕
46,💟,pos,💟
47,❣️,pos,❣️
48,❤️,pos,❤️
49,🧡,pos,🧡
50,💛,pos,💛
51,💚,pos,💚
52,💙,pos,💙
53,💜,pos,💜
54,💯,pos,💯
55,✌️,pos,✌️
56,🤟,pos,🤟
57,👍,pos,👍
58,👏,pos,👏
59,💪,pos,💪
60,💏,pos,💏
61,👩‍❤️‍💋‍👨,pos,👩‍❤️‍💋‍👨
62,👨‍❤️‍💋‍👨,pos,👨‍❤️‍💋‍👨
63,👩‍❤️‍💋‍👩,pos,👩‍❤️‍💋‍👩
64,💑,pos,💑
65,👩‍❤️‍👨,pos,👩‍❤️‍👨
66,👨‍❤️‍👨,pos,👨‍❤️‍👨
67,👩‍❤️‍👩,pos,👩‍❤️‍👩
68,💐,pos,💐
69,🌸,pos,🌸
70,💮,pos,💮
71,🏵️,pos,🏵️
72,🌹,pos,🌹
73,🌺,pos,🌺
74,🌻,pos,🌻
75,🌼,pos,🌼
76,🌷,pos,🌷
77,🌈,pos,🌈
78,🎃,pos,🎃
79,🎄,pos,🎄
80,🎆,pos,🎆
81,🎇,pos,🎇
82,🧨,pos,🧨
83,✨,pos,✨
84,🎈,pos,🎈
85,🎉,pos,🎉
86,🎊,pos,🎊
87,🎋,pos,🎋
88,🎍,pos,🎍
89,🎑,pos,🎑
90,🧧,pos,🧧
91,🎀,pos,🎀
92,🎁,pos,🎁
93,🎖️,pos,🎖️
94,🏆,pos,🏆
95,🏅,pos,🏅
96,🥇,pos,🥇
97,🥈,pos,🥈
98,🥉,pos,🥉
99,✅,pos,✅
100,☑️,pos,☑️
101,✔️,pos,✔️
102,㊗️,pos,㊗️
103,♥️,pos,♥️
